club ,points,GPG,SPG,STPG,PST,PSG,PSTG,CPG,YCPG,RCPG,TPG,PPG,PGCA,PCS,GCPG,SAPG,CRPG,PLP,PGOB,TBICPG,PR,PTS,PSV,TF,FS
arsenal,69,1.605263158,15.5,5.210526316,33.61629881,10.3565365,30.80808081,5.473684211,1.578947368,0.105263158,658.0789474,481.3157895,9.836065574,34.21052632,1.263157895,2.631578947,16.65789474,10.19682887,16.39344262,41.97368421,no,15.18585929,6.565391535,0,0
aston villa,45,1.368421053,12.21052632,4.263157895,34.9137931,11.20689655,32.09876543,5.157894737,2.078947368,0.078947368,579.4210526,391.7368421,7.692307692,28.94736842,1.421052632,2.578947368,17.63157895,12.60916297,13.46153846,45.86842105,no,0.312650044,5.223504969,0,0
brentford,46,1.263157895,11.63157895,4.078947368,35.0678733,10.85972851,30.96774194,4.184210526,1.605263158,0.078947368,568.9210526,384.3157895,2.083333333,23.68421053,1.473684211,3.394736842,16.84210526,15.9887702,6.25,50.57894737,yes,3.986288062,2.926876285,0,0
brighton,51,1.105263158,12.86842105,4,31.08384458,8.588957055,27.63157895,5.263157895,1.921052632,0.052631579,688.2368421,495.6578947,4.761904762,28.94736842,1.157894737,2.736842105,19.15789474,11.5848155,19.04761905,48.94736842,no,-0.390812555,3.405586018,0,0
burnley,35,0.894736842,10.71052632,3.289473684,30.71253071,8.353808354,27.2,4.815789474,1.789473684,0.052631579,513.1842105,324.1842105,2.941176471,23.68421053,1.394736842,3.394736842,19.65789474,21.25984252,11.76470588,53.76315789,no,0.993780497,1.478431289,0,0
chelsea,74,2,15.57894737,5.552631579,35.64189189,12.83783784,36.01895735,6.342105263,1.657894737,0.026315789,798.7631579,609.9736842,0,42.10526316,0.868421053,2.210526316,19.60526316,7.748392942,18.42105263,44.21052632,no,-0.736960818,9.793737149,1,0
crystal palace,48,1.315789474,10.84210526,3.868421053,35.67961165,12.13592233,34.01360544,4.605263158,1.763157895,0.026315789,658.2105263,455.5,4,31.57894737,1.210526316,2.657894737,16.92105263,13.24166619,10,48.28947368,no,9.560391706,2.902780158,0,0
everton,39,1.131578947,11.5,3.631578947,31.57894737,9.839816934,31.15942029,4.236842105,2.052631579,0.157894737,535.7894737,340.6315789,6.976744186,21.05263158,1.736842105,3.368421053,17.18421053,17.01946848,16.27906977,52.23684211,no,-0.725794745,5.130333276,0,0
leeds,38,1.105263158,12.76315789,4.052631579,31.75257732,8.659793814,27.27272727,4.473684211,2.657894737,0.078947368,632.7105263,434.2894737,0,13.15789474,2.078947368,3.868421053,17.05263158,12.84614918,21.42857143,50.73684211,no,6.621481291,3.206926833,0,0
leicester,52,1.631578947,11.44736842,4.447368421,38.85057471,14.25287356,36.68639053,4.868421053,1.447368421,0.026315789,676.3157895,488.8947368,6.451612903,18.42105263,1.552631579,3.552631579,14.63157895,10.68468081,11.29032258,50.81578947,no,7.10162243,5.639029301,0,1
