club ,points,GPG,SPG,STPG,PST,PSG,PSTG,PR,CPG,YCPG,RCPG,TPG,PPG,PGCA,PCS,GCPG,SAPG,CRPG,PLP,PGOB,TBICPG,PTS,PSV,TF,FS
arsenal ,61,1.447368421,12.07894737,4,33.11546841,11.98257081,36.18421053,no,5.473684211,1.236842105,0.131578947,701.2631579,529.6315789,1.818181818,31.57894737,1.026315789,2.526315789,19.76315789,9.192089834,5.454545455,40.39473684,6.043702706,6.765504395,0,0
aston villa,55,1.447368421,13.44736842,4.921052632,36.59491194,10.76320939,29.41176471,no,5.657894737,1.657894737,0.078947368,595.2631579,399.7105263,7.272727273,39.47368421,1.210526316,3.736842105,20.5,15.47172296,14.54545455,47.68421053,8.912314327,4.706081579,0,0
brighton,41,1.052631579,12.81578947,3.763157895,29.36344969,8.213552361,27.97202797,no,5.763157895,1.184210526,0.157894737,659.8421053,478.5526316,0,31.57894737,1.210526316,2.157894737,18.05263158,12.44982128,17.5,45,0.71421468,3.172712921,0,0
burnley,39,0.868421053,10.10526316,3.421052632,33.85416667,8.59375,25.38461538,no,4.526315789,1.263157895,0,541.7368421,364.3684211,3.03030303,28.94736842,1.447368421,3.315789474,20.31578947,21.0457894,15.15151515,49.36842105,-0.108488306,1.445419833,0,0
chelsea,67,1.526315789,14.68421053,5.5,37.45519713,10.39426523,27.75119617,no,5.973684211,1.263157895,0.078947368,820.3157895,633.4210526,3.448275862,47.36842105,0.947368421,1.921052632,19.71052632,8.05151641,5.172413793,44.5,17.18183544,9.714794522,1,0
crystal palace,44,1.078947368,9.184210526,3.447368421,37.53581662,11.747851,31.29770992,no,3.973684211,1.421052632,0.052631579,558.6052632,370.1842105,7.317073171,21.05263158,1.736842105,2.868421053,14.55263158,14.50913485,12.19512195,49.94736842,0.216976612,2.117873277,0,0
everton,59,1.236842105,10.52631579,3.894736842,37,11.75,31.75675676,no,4.394736842,1.526315789,0.052631579,636.8684211,450.8421053,0,31.57894737,1.263157895,3,17.42105263,12.8881625,6.382978723,52.42105263,6.233557241,5.585023571,0,0
fulham,28,0.710526316,11.63157895,3.578947368,30.76923077,6.108597285,19.85294118,yes,4.315789474,1.736842105,0.078947368,667.7105263,468.3157895,3.703703704,23.68421053,1.447368421,3.157894737,18.68421053,11.71611598,7.407407407,49.57894737,3.367657828,2.619345464,0,0
leeds,59,1.631578947,13.73684211,5.236842105,38.12260536,11.87739464,31.15577889,yes,6.078947368,1.605263158,0.026315789,689.9210526,490.8421053,11.29032258,31.57894737,1.421052632,3.894736842,20.68421053,11.42504825,22.58064516,49.92105263,11.55400457,2.601318686,0,0
leicester,66,1.789473684,12.73684211,4.868421053,38.2231405,14.04958678,36.75675676,no,5.631578947,1.578947368,0,703.2894737,515.1842105,5.882352941,28.94736842,1.315789474,2.315789474,17.07894737,10.13434132,17.64705882,48.36842105,0.508990968,5.579560911,0,1
liverpool,69,1.789473684,16,5.631578947,35.19736842,11.18421053,31.77570093,no,6.842105263,1.052631579,0,828.0526316,639.2631579,7.352941176,31.57894737,1.105263158,2.631578947,22.68421053,8.364893792,8.823529412,38.81578947,6.043702706,10.59373651,1,0
man city,86,2.184210526,15.89473684,5.763157895,36.25827815,13.74172185,37.89954338,no,6.5,1.736842105,0.052631579,845.6578947,675.0263158,3.614457831,50,0.842105263,1.815789474,16.63157895,6.627421933,12.04819277,34.94736842,9.890517218,11.36233277,1,0
man u,74,1.921052632,13.71052632,5.578947368,40.69097889,14.01151631,34.43396226,no,5.184210526,1.684210526,0.026315789,737.8947368,552.5789474,8.219178082,34.21052632,1.157894737,2.631578947,16.81578947,8.538908467,10.95890411,43.36842105,5.813165056,8.413042647,1,0
newcastle,45,1.210526316,10.44736842,3.736842105,35.76826196,11.58690176,32.3943662,no,4.236842105,1.605263158,0.078947368,528.0263158,345.1578947,6.52173913,18.42105263,1.631578947,3.5,17.15789474,17.5663312,6.52173913,50.26315789,3.501460072,2.789780456,0,0
sheffield united,23,0.526315789,8.552631579,2.605263158,30.46153846,6.153846154,20.2020202,no,4.5,1.921052632,0.078947368,564.5526316,385.4473684,0,13.15789474,1.657894737,3.868421053,17.52631579,15.56632758,10,50.86842105,5.668513981,1.637159198,0,0
southampton,43,1.236842105,11.13157895,4.368421053,39.24349882,11.11111111,28.31325301,no,4.684210526,1.368421053,0.078947368,657.7894737,465.5263158,0,23.68421053,1.789473684,2.973684211,14.57894737,11.46975692,17.0212766,49.13157895,0.994476137,3.089680489,0,0
